name,code,id
Rentas Inmobiliarias ,401,ats_earning_401
Beneficios y servicios Empresariales / Asistencia técnica ,402,ats_earning_402
Beneficios y servicios Empresariales / Comisiones ,403,ats_earning_403
Beneficios y servicios Empresariales / Comisiones sobre préstamos ,404,ats_earning_404
Beneficios y servicios Empresariales / Honorarios ,405,ats_earning_405
Beneficios y servicios Empresariales / Publicidad ,406,ats_earning_406
Beneficios y servicios Empresariales / Servicios administrativos ,407,ats_earning_407
Beneficios y servicios Empresariales / Servicios financieros ,408,ats_earning_408
Beneficios y servicios Empresariales / Servicios intermedios de la producción (maquila) ,409,ats_earning_409
Beneficios y servicios Empresariales / Servicios técnicos ,410,ats_earning_410
Navegación Marítima y/o aérea ,411,ats_earning_411
Dividendos ,412,ats_earning_412
Rendimientos financieros / Comisiones sobre préstamos ,413,ats_earning_413
Rendimientos financieros / Otras inversiones ,414,ats_earning_414
Garantías ,415,ats_earning_415
Servicios profesionales independientes /dependientes ,416,ats_earning_416
Intereses sobre préstamos ,417,ats_earning_417
Intereses créditos en ventas ,418,ats_earning_418
"Regalías / Cánones, derechos de autor, marcas, patentes y similares ",419,ats_earning_419
Regalías / Por concepto de franquicias ,420,ats_earning_420
Seguros y reaseguros (primas y cesiones),421,ats_earning_421
Utilidad o pérdida por derivados financieros ,422,ats_earning_422
Utilidad por operaciones de futuros distintas de las del sector financiero ,423,ats_earning_423
Venta de bienes intangibles ,424,ats_earning_424
Enajenación de derechos representativos de capital ,425,ats_earning_425
Enajenación de obligaciones ,426,ats_earning_426
Artistas ,427,ats_earning_427
Deportistas ,428,ats_earning_428
Participación de consejeros ,429,ats_earning_429
Entretenimiento Público ,430,ats_earning_430
Pensiones ,431,ats_earning_431
Reembolso de Gastos ,432,ats_earning_432
Funciones Públicas ,433,ats_earning_433
Estudiantes ,434,ats_earning_434
Arrendamientos mercantil internacional ,435,ats_earning_435
Contratos de fletamento de naves para empresas de transporte aéreo o marítimo internacional ,436,ats_earning_436
Seguros y reaseguros (primas y cesiones),437,ats_earning_437
Otros ingresos ,438,ats_earning_438
Otros servicios ,439,ats_earning_439